Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2018,1,1,11,4,2018/1/11,AS,AS,19930,AS,18,,,,,AS,19930,AS,N248AK,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2144,2146,2,2,0,0,2100-2159,25,2211,602,13,600,615,15,15,1,1,0600-0659,0,,0,316,329,291,1,2422,10,0,0,15,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,11,4,2018/1/11,AS,AS,19930,AS,480,,,,,AS,19930,AS,N472AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2135,15,15,1,1,2100-2159,13,2148,531,12,525,543,18,18,1,1,0001-0559,0,,0,305,308,283,1,2454,10,3,0,3,0,12,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,12,5,2018/1/12,AS,AS,19930,AS,18,,,,,AS,19930,AS,N428AS,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2144,2151,7,7,0,0,2100-2159,21,2212,603,13,600,616,16,16,1,1,0600-0659,0,,0,316,325,291,1,2422,10,0,0,9,0,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,12,5,2018/1/12,AS,AS,19930,AS,480,,,,,AS,19930,AS,N282AK,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2106,-14,0,0,-1,2100-2159,17,2123,509,10,525,519,-6,0,0,-1,0001-0559,0,,0,305,313,286,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,13,6,2018/1/13,AS,AS,19930,AS,18,,,,,AS,19930,AS,N431AS,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2144,2137,-7,0,0,-1,2100-2159,13,2150,544,5,600,549,-11,0,0,-1,0600-0659,0,,0,316,312,294,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,13,6,2018/1/13,AS,AS,19930,AS,480,,,,,AS,19930,AS,N435AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2108,-12,0,0,-1,2100-2159,25,2133,530,10,525,540,15,15,1,1,0001-0559,0,,0,305,332,297,1,2454,10,0,0,15,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,14,7,2018/1/14,AS,AS,19930,AS,18,,,,,AS,19930,AS,N423AS,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2144,2137,-7,0,0,-1,2100-2159,16,2153,533,7,600,540,-20,0,0,-2,0600-0659,0,,0,316,303,280,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,14,7,2018/1/14,AS,AS,19930,AS,480,,,,,AS,19930,AS,N237AK,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2109,-11,0,0,-1,2100-2159,15,2124,502,13,525,515,-10,0,0,-1,0001-0559,0,,0,305,306,278,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,15,1,2018/1/15,AS,AS,19930,AS,18,,,,,AS,19930,AS,N270AK,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2144,2138,-6,0,0,-1,2100-2159,13,2151,556,12,600,608,8,8,0,0,0600-0659,0,,0,316,330,305,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,15,1,2018/1/15,AS,AS,19930,AS,480,,,,,AS,19930,AS,N483AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2120,0,0,0,0,2100-2159,13,2133,544,8,525,552,27,27,1,1,0001-0559,0,,0,305,332,311,1,2454,10,0,0,27,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
